Time,Open,High,Low,Last,Change,Volume
12/19/19,1.11123,1.11438,1.11073,1.11196,0.00073999999999996,139068
12/18/19,1.11498,1.11538,1.11104,1.11122,-0.0037799999999999,121727
12/17/19,1.11433,1.1174,1.1129,1.115,0.00066999999999995,141052
12/16/19,1.11295,1.11577,1.11225,1.11433,0.0025500000000001,114831
12/13/19,1.11287,1.11989,1.11114,1.11178,-0.00108,205753
12/12/19,1.11288,1.11537,1.11036,1.11286,-2.0000000000131E-5,138875
12/11/19,1.10913,1.11445,1.10701,1.11288,0.0037400000000001,134759
12/10/19,1.10631,1.10972,1.10623,1.10914,0.00284,107881
12/09/19,1.10578,1.10776,1.10531,1.1063,0.00046000000000013,90655
12/06/19,1.11033,1.11093,1.10397,1.10584,-0.0044900000000001,103423
12/05/19,1.10763,1.11076,1.10763,1.11033,0.00271,110026
12/04/19,1.10809,1.11136,1.10667,1.10762,-0.00046999999999997,132945
12/03/19,1.10784,1.10928,1.10657,1.10809,0.00024000000000002,114933
12/02/19,1.10239,1.1089,1.10028,1.10785,0.00634,109698
11/29/19,1.10068,1.10269,1.09809,1.10151,0.00083999999999995,116433
11/28/19,1.09981,1.10175,1.0998,1.10067,0.00086999999999993,96669
11/27/19,1.10203,1.10234,1.09921,1.0998,-0.0022199999999999,116941
11/26/19,1.1012,1.10252,1.1007,1.10202,0.00083000000000011,114544
11/25/19,1.10162,1.10316,1.10042,1.10119,-0.00059000000000009,108641
11/22/19,1.1058,1.10863,1.10143,1.10178,-0.0040100000000001,128032
11/21/19,1.10718,1.10967,1.10532,1.10579,-0.0013999999999998,119264
11/20/19,1.10773,1.10808,1.10528,1.10719,-0.00056000000000012,125340
11/19/19,1.10713,1.10837,1.10624,1.10775,0.00062000000000006,104621
11/18/19,1.10506,1.10895,1.10478,1.10713,0.00206,110252
11/15/19,1.10204,1.10565,1.10142,1.10507,0.00305,112263
11/14/19,1.10061,1.10268,1.0989,1.10202,0.0014099999999999,125303
11/13/19,1.10084,1.102,1.09952,1.10061,-0.00021999999999989,134874
11/12/19,1.10325,1.10383,1.10029,1.10083,-0.0024200000000001,128380
11/11/19,1.10241,1.10426,1.10161,1.10325,0.0014500000000002,93836
11/08/19,1.10493,1.10551,1.10165,1.1018,-0.0031300000000001,128213
11/07/19,1.10654,1.10911,1.1036,1.10493,-0.0016100000000001,175120
11/06/19,1.10735,1.10925,1.10647,1.10654,-0.00079999999999991,126057
11/05/19,1.11269,1.11396,1.10632,1.10734,-0.00536,162207
11/04/19,1.11689,1.11751,1.11245,1.1127,-0.0037499999999999,120628
11/01/19,1.11511,1.11715,1.11282,1.11645,0.0013399999999999,117982
10/31/19,1.11498,1.1175,1.11325,1.11511,0.00012999999999996,138328
10/30/19,1.11109,1.11511,1.10801,1.11498,0.0039,131024
10/29/19,1.10991,1.11179,1.10733,1.11108,0.0011700000000001,100653
10/28/19,1.10817,1.11063,1.10756,1.10991,0.0019899999999999,86337
10/25/19,1.11035,1.11227,1.10726,1.10792,-0.0024299999999999,95669
10/24/19,1.11298,1.11623,1.10927,1.11035,-0.0026200000000001,126019
10/23/19,1.11243,1.11394,1.11059,1.11297,0.00055000000000005,103397
10/22/19,1.11491,1.11566,1.11186,1.11242,-0.0024900000000001,109918
10/21/19,1.11554,1.11787,1.11394,1.11491,-0.0019899999999999,106079
10/18/19,1.11232,1.11705,1.11146,1.1169,0.00457,124133
10/17/19,1.10708,1.11391,1.10649,1.11233,0.00525,157616
10/16/19,1.10317,1.10847,1.10224,1.10708,0.0039,160333
10/15/19,1.10254,1.10456,1.09912,1.10318,0.00063000000000013,163311
10/14/19,1.10348,1.10422,1.10131,1.10255,-0.00080000000000013,111306
10/11/19,1.10044,1.10621,1.1001,1.10335,0.0029000000000001,175877
10/10/19,1.09701,1.10335,1.09697,1.10045,0.00342,171837
10/09/19,1.09559,1.09897,1.09482,1.09703,0.00143,120428
10/08/19,1.09703,1.09954,1.09408,1.0956,-0.0014200000000002,136838
10/07/19,1.09757,1.0999,1.09619,1.09702,-0.00056999999999996,112666
10/04/19,1.09628,1.09957,1.09571,1.09759,0.0013100000000001,132639
10/03/19,1.09586,1.09985,1.09408,1.09628,0.00041999999999986,121295
10/02/19,1.09311,1.09631,1.09041,1.09586,0.0027600000000001,118102
10/01/19,1.08976,1.09423,1.08789,1.0931,0.00336,127161
09/30/19,1.09413,1.09473,1.08857,1.08974,-0.0041900000000001,110262
09/27/19,1.09196,1.09578,1.09046,1.09393,0.0019800000000001,117194
09/26/19,1.09415,1.09658,1.09091,1.09195,-0.0021899999999999,125858
09/25/19,1.10194,1.10215,1.09373,1.09414,-0.0078100000000001,125384
09/24/19,1.09925,1.10237,1.09838,1.10195,0.00271,116348
