Time,Open,High,Low,Last,Change,Volume
12/19/19,1.30774,1.31317,1.29899,1.30077,-0.00698,231968
12/18/19,1.31291,1.31338,1.30598,1.30775,-0.00518,232518
12/17/19,1.33311,1.33349,1.30991,1.31293,-0.02017,242576
12/16/19,1.33384,1.34217,1.33212,1.3331,0.00055999999999989,191682
12/13/19,1.31563,1.35139,1.31562,1.33254,0.01695,282750
12/12/19,1.31947,1.32275,1.30506,1.31559,-0.00386,203920
12/11/19,1.31529,1.32132,1.3107,1.31945,0.0041500000000001,193696
12/10/19,1.31378,1.32143,1.31325,1.3153,0.0014699999999999,156468
12/09/19,1.31339,1.31803,1.31318,1.31383,0.00031000000000003,142584
12/06/19,1.31569,1.31653,1.31007,1.31352,-0.00217,146618
12/05/19,1.31028,1.3166,1.31016,1.31569,0.0054000000000001,145422
12/04/19,1.29936,1.31175,1.29824,1.31029,0.01089,171616
12/03/19,1.29366,1.30106,1.29299,1.2994,0.0054700000000001,140312
12/02/19,1.29102,1.29486,1.28961,1.29393,0.00206,127465
11/29/19,1.29085,1.29412,1.2879,1.29187,0.0010100000000002,146410
11/28/19,1.29189,1.29502,1.28991,1.29086,-0.00102,158282
11/27/19,1.28643,1.29188,1.28271,1.29188,0.0054699999999999,163017
11/26/19,1.28972,1.29031,1.28359,1.28641,-0.0032999999999999,150426
11/25/19,1.28585,1.29111,1.28407,1.28971,0.0067199999999998,140925
11/22/19,1.2905,1.29272,1.28238,1.28299,-0.00752,162410
11/21/19,1.29226,1.29692,1.2893,1.29051,-0.00176,155528
11/20/19,1.29246,1.29297,1.2888,1.29227,-0.00019999999999998,153580
11/19/19,1.29519,1.29693,1.29101,1.29247,-0.00271,150947
11/18/19,1.2917,1.29837,1.29089,1.29518,0.0051099999999999,145366
11/15/19,1.28808,1.29186,1.2867,1.29007,0.0019900000000002,149231
11/14/19,1.28497,1.28875,1.28244,1.28808,0.0031099999999999,162846
11/13/19,1.28444,1.28585,1.28214,1.28497,0.00053999999999998,167413
11/12/19,1.28515,1.28732,1.28153,1.28443,-0.00073000000000012,182606
11/11/19,1.27985,1.28959,1.27851,1.28516,0.0079,153253
11/08/19,1.28125,1.28223,1.27684,1.27726,-0.0039799999999999,163442
11/07/19,1.28537,1.28772,1.27941,1.28124,-0.00414,203699
11/06/19,1.28819,1.28965,1.28438,1.28538,-0.0028300000000001,156373
11/05/19,1.28821,1.29165,1.2859,1.28821,0,198741
11/04/19,1.2929,1.29422,1.28759,1.28821,-0.0053699999999999,148939
11/01/19,1.29399,1.29718,1.29251,1.29358,-0.00041000000000002,173241
10/31/19,1.28976,1.29748,1.28941,1.29399,0.00423,190205
10/30/19,1.28629,1.29067,1.2845,1.28976,0.0034799999999999,173147
10/29/19,1.28534,1.29042,1.2807,1.28628,0.0009300000000001,175645
10/28/19,1.28173,1.28754,1.28108,1.28535,0.00292,146024
10/25/19,1.28494,1.28618,1.2804,1.28243,-0.0024999999999999,155659
10/24/19,1.29092,1.29492,1.27883,1.28493,-0.0059600000000002,187626
10/23/19,1.28707,1.29209,1.28403,1.29089,0.00383,217288
10/22/19,1.29583,1.29975,1.28614,1.28706,-0.0087699999999999,218463
10/21/19,1.29316,1.30118,1.28742,1.29583,-0.0013799999999999,216012
10/18/19,1.28899,1.2976,1.28391,1.29721,0.00823,245091
10/17/19,1.28272,1.29808,1.27495,1.28898,0.00624,295615
10/16/19,1.27805,1.28723,1.26565,1.28274,0.0047200000000001,293703
10/15/19,1.2605,1.27938,1.26016,1.27802,0.01753,295060
10/14/19,1.26101,1.2649,1.25161,1.26049,-0.00413,226899
10/11/19,1.24396,1.27005,1.2409,1.26462,0.02068,274397
10/10/19,1.22033,1.24682,1.22031,1.24394,0.02359,233239
10/09/19,1.22174,1.22865,1.21981,1.22035,-0.0013999999999998,176374
10/08/19,1.2288,1.23018,1.21952,1.22175,-0.00705,185185
10/07/19,1.23124,1.23358,1.22864,1.2288,-0.0042500000000001,150039
10/04/19,1.23275,1.23565,1.22759,1.23305,0.00026999999999999,158061
10/03/19,1.22967,1.24118,1.22655,1.23278,0.00312,202784
10/02/19,1.23,1.23228,1.2227,1.22966,-0.00029999999999997,195804
10/01/19,1.22931,1.23346,1.22067,1.22996,0.00065999999999988,213917
